id,object,category,distance,disk_major_axis,inclination,catalog
187,HD 92945,Debris,21.6,10.2,63,resolved
188,HD 95086,Debris,90.4,12.01,23.3,resolved
189,HD 97048,HAe,180,3.6,43,resolved
190,HD 98800B,Trans,50,0.25,67,resolved
191,Hen 3-600A,TT,50,0.4,36,resolved
192,HH 212,YSO,400,0.38,90,resolved
193,HH 30,TT,140,3,83,resolved
194,HIP 67497,Debris,107.4,1.09,80,resolved
195,HIP 79977,Debris,123,4,84,resolved
196,HK Tau B,TT,140,1.5,84,resolved
197,HL Tau,TT,140,1.39,47,resolved
198,HR 4796A,Debris,67,2.1,76,resolved
199,HR 8799,Debris,40,28.4,26,resolved
200,HT Lup,TT,154,0.156,48,resolved
201,HV Tau C,TT,140,1.2,84,resolved
202,IC 348-IR,HAe,200,8,87,resolved
203,IM Lup,TT,158,4,48,resolved
204,IQ Tau,TT,140,1.54,75,resolved
205,IRAS 04158+2805,TT,140,8,62,resolved
206,IRAS 04302+2247,YSO,140,6,90,resolved
207,IRAS 04325+2402,TT,140,1,83,resolved
208,IRAS 04385+2550,YSO,140,4.28,52,resolved
209,IRAS 18059-3211,PPN,1000,5.5,90,resolved
210,IRAS 18151-1208,YSO,3000,3.3,,resolved
211,Kappa CrB,Debris,31.1,14.15,59,resolved
212,L1527 IRS,YSO,140,1.8,90,resolved
213,L1551 IRS 5,YSO,140,0.12,,resolved
214,lambda Boo,Debris,30.3,5.6,48,resolved
215,LkCa 15,TT,140,9.3,52,resolved
216,LkHa 263 C,TT,275,1.1,87,resolved
217,LkHa 330,YSO,250,0.5,42,resolved
218,LkHa 358,YSO,140,2.14,28,resolved
219,M17-SO1,YSO,2200,9,77,resolved
220,MWC 480,HAe,140,7.8,38,resolved
221,MWC 758,HAe,200,2.45,46,resolved
222,MWC 778,UC,1000,2.4,75,resolved
223,NGC 1333 IRAS 3B,YSO,230,1.78,45,resolved
224,Oph IRS 48,Trans,121,2.64,42,resolved
225,OPH-E_MM3,YSO,140,1.5,90,resolved
226,Orion 051-3541,UC,414,0.35,,resolved
227,Orion 053-717,UC,414,0.9,,resolved
228,Orion 090-326,UC,414,0.3,60,resolved
229,Orion 110-3035,UC,414,0.9,,resolved
230,Orion 114-426,UC,414,2.7,85,resolved
231,Orion 121-1925,UC,414,0.8,51,resolved
232,Orion 124-132,UC,414,0.5,,resolved
233,Orion 132-042,UC,414,0.5,,resolved
234,Orion 132-1832,UC,414,1.5,75,resolved
235,Orion 139-409,YSO,414,0.4,40,resolved
236,Orion 141-1952,UC,414,0.7,,resolved
237,Orion 163-026,UC,414,0.8,78,resolved
238,Orion 165-254,UC,414,0.3,71,resolved
239,Orion 167-231,UC,414,0.5,30,resolved
240,Orion 172-028,UC,414,0.7,55,resolved
241,Orion 182-332,UC,414,0.3,60,resolved
242,Orion 182-413,UC,414,0.4,80,resolved
243,Orion 183-405,UC,414,0.7,39,resolved
244,Orion 183-419,UC,414,0.25,65,resolved
245,Orion 191-232,UC,414,0.3,65,resolved
246,Orion 193-1659,UC,414,0.8,,resolved
247,Orion 203-506,UC,414,0.4,67,resolved
248,Orion 216-0939,UC,414,2.6,,resolved
249,Orion 218-354,UC,414,1.4,65,resolved
250,Orion 218-529,UC,414,0.4,60,resolved
251,Orion 230-536,UC,414,0.5,60,resolved
252,Orion 239-334,UC,414,0.5,66,resolved
253,Orion 253-1536,UC,414,1.5,,resolved
254,Orion 280-1720,UC,414,0.8,,resolved
255,Orion 281-306,UC,414,0.4,,resolved
256,Orion 294-606,UC,414,1,85,resolved
257,Orion 294-757,UC,414,0.43,,resolved
258,Orion 332-405,UC,414,0.75,70,resolved
259,Orion 346-1553,UC,414,0.5,,resolved
260,Orion 347-1535,UC,414,0.7,,resolved
261,Orion 4538-311,UC,414,0.43,,resolved
262,Orion 473-245,UC,414,0.75,,resolved
263,PDS 144N,HAe,145,0.8,83,resolved
264,PDS 66,TT,86,0.82,32,resolved
265,PDS 70,TT,140,2.5,62,resolved
266,PV Cephei,HAe,500,0.68,62,resolved
267,rho Vir,Debris,36.9,5,70,resolved
268,RU Lup,TT,154,0.82,19,resolved
269,RX J1615.3-3255,wTT,185,1.24,41,resolved
270,RY Tau,TT,140,0.36,66,resolved
271,SR 21,TT,140,1.4,60,resolved
272,SR 24 S,TT,140,1.4,57,resolved
273,Tau Ceti,Debris,3.6,15.3,35,resolved
274,TW Hya,TT,56,8,0,resolved
275,TWA 25,Debris,54,2.89,75,resolved
276,TWA 7,Debris,34.5,2.03,28,resolved
277,UX Tau A,TT,140,0.29,35,resolved
278,UY Aur,TT,140,30,42,resolved
279,UZ Tau E,TT,140,4.3,54,resolved
280,V4046 Sgr,TT,73,5.07,34,resolved
281,V883 Ori,YSO,414,0.3,38,resolved
282,V892 Tau,HAe,140,0.51,59,resolved
283,Vega,Debris,7.8,140,0,resolved
284,WaOph 6,TT,123,1.675,47,resolved
285,WL 16,HAe,140,7,62,resolved
286,WL 20 S,YSO,140,0.59,,resolved
287,WSB 60,TT,140,1.2,42,resolved
288,WW Cha,TT,160,1.32,,resolved
289,zeta Lep,Debris,21.6,0.28,30,resolved
