# Scattering angle (deg) - Polarized phase function - Error - Phase function - Error

3.769989871851617380e+01 1.000000000000000000e+00 3.439294337084113778e-02 1.000000000000000000e+00 3.439294337084113778e-02
4.237861140072289601e+01 8.056448098182557027e-01 3.905527636599527563e-02 6.303915404369614395e-01 3.055951646496057189e-02
4.745873783911022770e+01 6.382283891492580574e-01 3.463106840769169387e-02 3.939927162895335289e-01 2.137853618223206631e-02
5.247738365512773839e+01 7.157458738589537184e-01 3.616006481172938380e-02 3.587701808760950239e-01 1.812536190121577517e-02
5.747008175167756150e+01 7.415684455103803696e-01 3.343679510974575247e-02 3.093066808677510937e-01 1.394641880579550706e-02
6.251061251030386501e+01 7.506047855196207319e-01 3.310511737507215030e-02 2.661038403465160740e-01 1.173640115088048393e-02
6.752651068961526448e+01 6.633263565650242555e-01 3.346694925289712269e-02 2.047666461073491539e-01 1.033113622900166603e-02
7.253227507020368137e+01 6.365118638463347356e-01 3.362608952322562739e-02 1.753796737164729780e-01 9.265078852274058127e-03
7.752474440934987854e+01 6.874485365657440061e-01 2.668192993623743139e-02 1.735802696439605053e-01 6.737168452042267310e-03
8.252813802838316803e+01 6.983108787748747437e-01 2.335629585124643359e-02 1.661258882767458200e-01 5.556386865904276197e-03
8.755030374870760568e+01 7.529657134246707795e-01 2.518209945113404277e-02 1.738045374651370212e-01 5.812699130215176480e-03
9.255499022759971695e+01 6.896093782628752722e-01 2.556306058065527936e-02 1.592312554859305063e-01 5.902527370747286464e-03
9.757571948302751252e+01 6.920312083298092443e-01 2.486017597799844436e-02 1.647870463735321700e-01 5.919725761541407005e-03
1.025736274871234457e+02 6.379684875292387369e-01 2.202972352461039438e-02 1.613214784578081429e-01 5.570600489642565413e-03
1.076085874015716968e+02 7.002577870273811733e-01 1.834810718064622606e-02 1.934942527514467436e-01 5.069923325513515065e-03
1.128221026377748615e+02 6.636313808103498912e-01 1.686922260789218420e-02 2.066805055112613809e-01 5.253729038436665694e-03
1.159643613472853616e+02 6.501617262302914479e-01 1.875106337638936596e-02 2.204429538639025576e-01 6.357710138902249869e-03
